,Run,Run start,Run end,"Run length (y, m, d, s)",Run length (days),Control directory,Output directory,Output GiB,Restart directory,Restart GiB,Run by,Run completion date,Job Id,Failed jobs,Failed jobids,Queue,Service Units,Walltime Used (hr),SU per model year,Walltime (hr) per model year,Wait (hr) between runs,SU per calendar day,Model years per calendar day,Memory Used (Gb),NCPUs Used,MOM NCPUs,CICE NCPUs,Fraction of MOM runtime in oasis_recv,Max MOM wait for oasis_recv (s),Max CICE wait for coupler (s),Max CICE I/O time (s),MOM tile layout,CICE tile distribution,CICE block_size_x,CICE block_size_y,Timestep (s),MOM barotropic split,CICE dynamic split (ndtd),Git hash of run,Commit date,Git-tracked file changes,Git log messages,accessom2.nml -> accessom2_nml -> ice_ocean_timestep,ice/cice_in.nml -> setup_nml -> istep0
,3,1906-01-01T00:00:00,1908-01-01T00:00:00,"[2, 0, 0, 0]",730.0,/home/156/db6174/access-om2/025deg_jra55_ryf_param_kpp3,/g/data/x77/db6174/access-om2/archive/025deg_jra55_ryf_param_kpp3/output003,243.724,,,Dhruv Bhagtani,2021-06-06T11:11:41,23489248,4,"[23463140, 23464096, 23470756, 23484217]",normal,12019.15,3.294722222222222,6013.691147260274,1.6484894406392694,,,,2048.0,1824,1455,361,0.094,1146.869174,7315.98,1185.42,"[48, 40]",roundrobin,30,27,1350,80,1,5e040f24aa0bd99ea68ae6dbbaeacd1c218f56e9,2021-06-06 07:54:07 +1000,,,1350,6696
,7,1914-01-01T00:00:00,1916-01-01T00:00:00,"[2, 0, 0, 0]",730.0,/home/156/db6174/access-om2/025deg_jra55_ryf_param_kpp3,/g/data/x77/db6174/access-om2/archive/025deg_jra55_ryf_param_kpp3/output007,80.549,,,Dhruv Bhagtani,2021-06-07T00:25:48,23530146,3,"[23496285, 23506575, 23518676]",normal,12039.41,3.3002777777777776,6023.828085616438,1.651269121004566,9.935,21831.490419123973,3.6241888229268557,2037.7599999997765,1824,1455,361,0.103,1242.273517,7194.19,1289.2,"[48, 40]",roundrobin,30,27,1350,80,1,2185850c266d9537909882e1f2ce5bcbe6b51277,2021-06-06 21:07:51 +1000,manifests/restart.yaml,"['2021-06-06 11:12:31: Run 4', '2021-06-06 14:30:54: Run 5', '2021-06-06 17:49:49: Run 6', '2021-06-06 21:07:51: Run 7']",1350,15624
,8,1916-01-01T00:00:00,1918-01-01T00:00:00,"[2, 0, 0, 0]",731.0,/home/156/db6174/access-om2/025deg_jra55_ryf_param_kpp3,/g/data/x77/db6174/access-om2/archive/025deg_jra55_ryf_param_kpp3/output008,80.547,,,Dhruv Bhagtani,2021-06-08T01:16:11,23592895,0,[],normal,12111.36,3.32,6051.5379480164165,1.6588645690834474,21.51972222222222,11701.927960368139,1.9337114070653425,2058.2400000002235,1824,1455,361,0.101,1231.776377,7218.51,1266.76,"[48, 40]",roundrobin,30,27,1350,80,1,4625b11f583df071a6ae331b7895e4314e0feca5,2021-06-07 21:57:14 +1000,"config.yaml, manifests/restart.yaml, ocean/diag_table, ocean/diag_table_source.yaml, sync_data.sh",['2021-06-07 21:57:13: Run 8'],1350,17856
,9,1918-01-01T00:00:00,1920-01-01T00:00:00,"[2, 0, 0, 0]",730.0,/home/156/db6174/access-om2/025deg_jra55_ryf_param_kpp3,/g/data/x77/db6174/access-om2/archive/025deg_jra55_ryf_param_kpp3/output009,80.568,/scratch/x77/db6174/access-om2/archive/025deg_jra55_ryf_param_kpp3/restart009,5.006,Dhruv Bhagtani,2021-06-08T05:31:12,23603649,0,[],normal,11970.51,3.281388888888889,5989.354489726027,1.6418182077625572,0.9688888888888889,67593.75622508333,11.285649620678118,2058.2400000002235,1824,1455,361,0.102,1217.126168,7167.9,1261.94,"[48, 40]",roundrobin,30,27,1350,80,1,b81044c7b658a047bc7e30d0f32f430f5b8929d3,2021-06-08 02:14:29 +1000,"manifests/restart.yaml, sync_data.sh",['2021-06-08 02:14:28: Run 9'],1350,20088
,10,1920-01-01T00:00:00,1922-01-01T00:00:00,"[2, 0, 0, 0]",731.0,/home/156/db6174/access-om2/025deg_jra55_ryf_param_kpp3,/g/data/x77/db6174/access-om2/archive/025deg_jra55_ryf_param_kpp3/output010,80.587,,,Dhruv Bhagtani,2021-06-08T09:02:56,23611941,0,[],normal,12151.89,3.331111111111111,6071.789086867305,1.6644163246694026,0.19777777777777805,82645.09571788412,13.611325185296293,2017.2800000002608,1824,1455,361,0.099,1208.685312,7337.77,1250.33,"[48, 40]",roundrobin,30,27,1350,80,1,8b3d940f1ca72d2cc92f1ffc617e945d07c8aac7,2021-06-08 05:43:17 +1000,manifests/restart.yaml,['2021-06-08 05:43:17: Run 10'],1350,22320
,13,1926-01-01T00:00:00,1928-01-01T00:00:00,"[2, 0, 0, 0]",730.0,/home/156/db6174/access-om2/025deg_jra55_ryf_param_kpp3,/g/data/x77/db6174/access-om2/archive/025deg_jra55_ryf_param_kpp3/output013,80.681,,,Dhruv Bhagtani,2021-06-08T19:30:40,23636482,2,"[23615084, 23630066]",normal,12421.44,3.405,6214.973917808219,1.7036660958904108,7.057222222222222,28494.382327952422,4.584795158400486,2058.2400000002235,1824,1455,361,0.107,1317.078343,7386.84,1330.22,"[48, 40]",roundrobin,30,27,1350,80,1,b237caf5ac8476f8b684f2f318969dab275c5591,2021-06-08 16:07:05 +1000,manifests/restart.yaml,"['2021-06-08 09:15:40: Run 11', '2021-06-08 12:39:36: Run 12', '2021-06-08 16:07:05: Run 13']",1350,29016
,14,1928-01-01T00:00:00,1930-01-01T00:00:00,"[2, 0, 0, 0]",731.0,/home/156/db6174/access-om2/025deg_jra55_ryf_param_kpp3,/g/data/x77/db6174/access-om2/archive/025deg_jra55_ryf_param_kpp3/output014,80.697,,,Dhruv Bhagtani,2021-06-08T23:04:12,23644976,0,[],normal,11995.84,3.2883333333333336,5993.817455540356,1.6430420656634748,0.2705555555555552,80896.07992507025,13.496587195910404,2037.7599999997765,1824,1455,361,0.102,1226.925338,7189.88,1261.15,"[48, 40]",roundrobin,30,27,1350,80,1,a61aa64d14154e56542990ff649ec98eb60fe54e,2021-06-08 19:47:04 +1000,manifests/restart.yaml,['2021-06-08 19:47:04: Run 14'],1350,31248
,15,1930-01-01T00:00:00,1932-01-01T00:00:00,"[2, 0, 0, 0]",730.0,/home/156/db6174/access-om2/025deg_jra55_ryf_param_kpp3,/g/data/x77/db6174/access-om2/archive/025deg_jra55_ryf_param_kpp3/output015,80.72,,,Dhruv Bhagtani,2021-06-09T02:24:30,23652939,0,[],normal,12032.32,3.2983333333333333,6020.2806575342465,1.6502962328767123,0.040000000000000036,86502.94957563654,14.36859085088999,2027.519999999553,1824,1455,361,0.097,1172.031918,7284.32,1205.79,"[48, 40]",roundrobin,30,27,1350,80,1,13dbcd730fa7270b4609d78f26aa511424ebb7a6,2021-06-08 23:06:48 +1000,manifests/restart.yaml,['2021-06-08 23:06:48: Run 15'],1350,33480
,16,1932-01-01T00:00:00,1934-01-01T00:00:00,"[2, 0, 0, 0]",731.0,/home/156/db6174/access-om2/025deg_jra55_ryf_param_kpp3,/g/data/x77/db6174/access-om2/archive/025deg_jra55_ryf_param_kpp3/output016,80.735,,,Dhruv Bhagtani,2021-06-09T05:51:09,23661477,0,[],normal,12109.33,3.3194444444444446,6050.523642270862,1.6585869813041496,0.12472222222222218,84381.49141059762,13.946146879103484,2058.2400000002235,1824,1455,361,0.1,1214.205779,7291.69,1251.68,"[48, 40]",roundrobin,30,27,1350,80,1,a11f5ecdb67f0dd55ade7c47ba25e1db31bbaddb,2021-06-09 02:32:07 +1000,manifests/restart.yaml,['2021-06-09 02:32:07: Run 16'],1350,35712
,17,1934-01-01T00:00:00,1936-01-01T00:00:00,"[2, 0, 0, 0]",730.0,/home/156/db6174/access-om2/025deg_jra55_ryf_param_kpp3,/g/data/x77/db6174/access-om2/archive/025deg_jra55_ryf_param_kpp3/output017,80.759,,,Dhruv Bhagtani,2021-06-09T09:09:26,23666531,0,[],normal,12036.37,3.2994444444444446,6022.3070445205485,1.6508521689497717,0.005277777777777715,87412.15163486594,14.51472849003916,2037.7599999997765,1824,1455,361,0.097,1177.70968,7187.23,1218.18,"[48, 40]",roundrobin,30,27,1350,80,1,6015def31a984481a93985d731194de236e930de,2021-06-09 05:51:37 +1000,manifests/restart.yaml,['2021-06-09 05:51:37: Run 17'],1350,37944
